Column1;Column2
;Street Name
Broadway;1432382
3rd Ave;1032332
5th Ave;651630
2nd Ave;627935
Madison Ave;559328
Lexington Ave;550879
1st Ave;456575
WB CONDUIT BLVD @ LI;443114
EB W 14TH STREET @ 5;433321
Queens Blvd;417788
6th Ave;403697
8th Ave;395101
Jamaica Ave;384881
Amsterdam Ave;365400
WB QUEENS BLVD @ 72N;360703
37th Ave;344547
NB WEST ST @ LEROY S;340529
EB HORACE HARDING EX;335146
7th Ave;334264
Park Ave;320334
Roosevelt Ave;307538
Columbus Ave;301056
9th Ave;259581
NB FRANCIS LEWIS BLV;248626
Grand Concourse;233842
SB FRANCIS LEWIS BLV;232155
Myrtle Ave;224882
Main St;216811
St Nicholas Ave;209720
Fulton St;206808
WB ATLANTIC AVE @ CL;205884
Nostrand Ave;202041
10th Ave;201390
White Plains Rd;199556
Steinway St;199269
NB SPRINGFIELD BLVD;199059
Liberty Ave;198359
Adam Clayton Powell;198149
Coney Island Ave;195314
W 47th St;194271
SB WEST ST @ LEROY S;194229
SB SPRINGFIELD BLVD;193914
EB CONDUIT BLVD @ GL;192395
SB WEST ST @ W THAME;192374
WB LINDEN BLVD @ LIN;189112
Northern Blvd;189063
E Tremont Ave;183071
SB MAIN ST @ 82ND DR;182518
WB FORT HAMILTON PKW;176624
NB PENNSYLVANIA AVE;175280
HORACE HARDING EXPWY;175091
Webster Ave;172823
Austin St;171423
EB ATLANTIC AVE @ ES;169176
Jerome Ave;165354
W 37th St;163422
NB CONEY ISLAND AVE;161406
31st St;161301
WB E 14TH STREET @ I;159579
Atlantic Ave;158641
EB ATLANTIC AVE @ 13;158564
Grand St;158193
NB OCEAN PKWY @ ELMW;157738
EB FLATLANDS AVE @ E;157213
NB OCEAN PKWY @ AVE;157199
W 40th St;154826
Metropolitan Ave;154700
W 39th St;154392
WB W 14TH STREET @ 6;154273
SB WOODHAVEN BLVD @;153923
W 28th St;153909
SB BAYCHESTER AVE @;151998
SB PENNSYLVANIA AVE;148659
W 48th St;146888
NB 12TH AVE @ 23RD S;145061
WB SEDGWICK AVE @ SA;143192
Hillside Ave;142058
Flatbush Ave;141148
Bleecker St;140371
Prince St;140294
Greenwich St;140210
NB WEST ST @ CARLISL;136633
41st Ave;135534
WB HILLSIDE AVE @ 25;134876
W 38th St;134827
W 43rd St;134120
WB SEAGIRT BLVD @ B;132944
W 30th St;132300
EB E HOUSTON ST @ AV;132090
NB WEST ST @ WARREN;130648
Westchester Ave;129731
Frederick Douglass B;129108
WB SEAGIRT BLVD @ CR;128023
Bedford Ave;127274
Riverside Dr;126385
30th Ave;126280
EB E 233RD ST @ KATO;126252
SB EASTERN PKWY @ TR;126014
39th Ave;125468
NB PAGE AVE @ ACADEM;125349
College Point Blvd;124026
W 45th St;123431
York Ave;123207
NB MARATHON PKWY @ T;122731
WB BRUCKNER BLVD @ B;122612
Kings Hwy;121415
W 17th St;120988
WB ATLANTIC AVE @ SH;120848
E 86th St;120302
EB W 57TH ST @ 10TH;118811
89th Ave;118594
W 23rd St;118223
EB LINDEN BLVD @ HEM;117726
4th Ave;117621
ATLANTIC AVE (W/B) @;116872
SB MANOR RD @ BRIELL;116746
SB E 80TH ST @ PAERD;116529
WB BRUCKNER BLVD @ F;116515
Washington Ave;116158
W 27th St;116053
EB E TREMONT AVE @ B;116011
EB NORTHERN BLVD @ A;114352
86th St;114170
W 46th St;113680
Manhattan Ave;113386
W 51st St;113358
WB LINDEN BLVD @ SCH;113183
E 10th St;111839
E 14th St;111720
EB LINDEN BLVD @ VER;111685
W 36th St;111629
13th Ave;111517
WB E GUN HILL RD @ G;111510
Ocean Pky;111363
WB E 14TH STREET @ 3;110957
E 23rd St;110831
Church Ave;110810
W 41st St;110432
Spring St;109312
SB LITTLE NECK PKWY;109284
E 13th St;108101
101st Ave;108031
W 24th St;107191
Washington St;106862
NB CENTRAL PARK WEST;106106
EB HILLSIDE AVE @ 25;106057
E 12th St;105994
